            Frequency,              V(L1:2)
5063.250633,1.054047669
5063.500635,1.054049129
5063.750638,1.054050588
5064.00064,1.054052046
5064.250643,1.054053503
5064.500645,1.05405496
5064.750648,1.054056416
5065.00065,1.054057871
5065.250653,1.054059325
5065.500655,1.054060778
5065.750658,1.054062231
5066.00066,1.054063683
5066.250663,1.054065134
5066.500665,1.054066584
5066.750668,1.054068034
5067.00067,1.054069483
5067.250673,1.054070931
5067.500675,1.054072378
5067.750678,1.054073824
5068.00068,1.05407527
5068.250683,1.054076715
5068.500685,1.054078159
5068.750688,1.054079602
5069.00069,1.054081045
5069.250693,1.054082487
5069.500695,1.054083928
5069.750698,1.054085368
5070.0007,1.054086807
5070.250703,1.054088246
5070.500705,1.054089684
5070.750708,1.054091121
5071.00071,1.054092557
5071.250713,1.054093993
5071.500715,1.054095428
5071.750718,1.054096862
5072.00072,1.054098295
5072.250723,1.054099727
5072.500725,1.054101159
5072.750728,1.05410259
5073.00073,1.05410402
5073.250733,1.054105449
5073.500735,1.054106878
5073.750738,1.054108305
5074.00074,1.054109732
5074.250743,1.054111159
5074.500745,1.054112584
5074.750748,1.054114009
5075.00075,1.054115433
5075.250753,1.054116856
5075.500755,1.054118278
5075.750758,1.054119699
5076.00076,1.05412112
5076.250763,1.05412254
5076.500765,1.054123959
5076.750768,1.054125378
5077.00077,1.054126795
5077.250773,1.054128212
5077.500775,1.054129628
5077.750778,1.054131043
5078.00078,1.054132458
5078.250783,1.054133872
5078.500785,1.054135284
5078.750788,1.054136697
5079.00079,1.054138108
5079.250793,1.054139519
5079.500795,1.054140928
5079.750798,1.054142337
5080.0008,1.054143745
5080.250803,1.054145153
5080.500805,1.05414656
5080.750808,1.054147965
5081.00081,1.05414937
5081.250813,1.054150775
5081.500815,1.054152178
5081.750818,1.054153581
5082.00082,1.054154983
5082.250823,1.054156384
5082.500825,1.054157784
5082.750828,1.054159184
5083.00083,1.054160583
5083.250833,1.054161981
5083.500835,1.054163378
5083.750838,1.054164775
5084.00084,1.05416617
5084.250843,1.054167565
5084.500845,1.054168959
5084.750848,1.054170352
5085.00085,1.054171745
5085.250853,1.054173137
5085.500855,1.054174528
5085.750858,1.054175918
5086.00086,1.054177307
5086.250863,1.054178696
5086.500865,1.054180083
5086.750868,1.05418147
5087.00087,1.054182857
5087.250873,1.054184242
5087.500875,1.054185627
5087.750878,1.054187011
5088.00088,1.054188394
5088.250883,1.054189776
5088.500885,1.054191157
5088.750888,1.054192538
5089.00089,1.054193918
5089.250893,1.054195297
5089.500895,1.054196675
5089.750898,1.054198053
5090.0009,1.05419943
5090.250903,1.054200806
5090.500905,1.054202181
5090.750908,1.054203555
5091.00091,1.054204929
5091.250913,1.054206302
5091.500915,1.054207674
5091.750918,1.054209045
5092.00092,1.054210415
5092.250923,1.054211785
5092.500925,1.054213154
5092.750928,1.054214522
5093.00093,1.054215889
5093.250933,1.054217256
5093.500935,1.054218621
5093.750938,1.054219986
5094.00094,1.05422135
5094.250943,1.054222714
5094.500945,1.054224076
5094.750948,1.054225438
5095.00095,1.054226799
5095.250953,1.054228159
5095.500955,1.054229518
5095.750958,1.054230877
5096.00096,1.054232235
5096.250963,1.054233592
5096.500965,1.054234948
5096.750968,1.054236303
5097.00097,1.054237658
5097.250973,1.054239012
5097.500975,1.054240365
5097.750978,1.054241717
5098.00098,1.054243068
5098.250983,1.054244419
5098.500985,1.054245769
5098.750988,1.054247118
5099.00099,1.054248466
5099.250993,1.054249814
5099.500995,1.05425116
5099.750998,1.054252506
5100.001,1.054253851
5100.251003,1.054255196
5100.501005,1.054256539
5100.751008,1.054257882
5101.00101,1.054259224
5101.251013,1.054260565
5101.501015,1.054261905
5101.751018,1.054263245
5102.00102,1.054264583
5102.251023,1.054265921
5102.501025,1.054267258
5102.751028,1.054268595
5103.00103,1.05426993
5103.251033,1.054271265
5103.501035,1.054272599
5103.751038,1.054273932
5104.00104,1.054275264
5104.251043,1.054276596
5104.501045,1.054277927
5104.751048,1.054279257
5105.00105,1.054280586
5105.251053,1.054281914
5105.501055,1.054283242
5105.751058,1.054284569
5106.00106,1.054285895
5106.251063,1.05428722
5106.501065,1.054288544
5106.751068,1.054289868
5107.00107,1.05429119
5107.251073,1.054292512
5107.501075,1.054293834
5107.751078,1.054295154
5108.00108,1.054296474
5108.251083,1.054297792
5108.501085,1.05429911
5108.751088,1.054300428
5109.00109,1.054301744
5109.251093,1.05430306
5109.501095,1.054304374
5109.751098,1.054305688
5110.0011,1.054307002
5110.251103,1.054308314
5110.501105,1.054309625
5110.751108,1.054310936
5111.00111,1.054312246
5111.251113,1.054313555
5111.501115,1.054314864
5111.751118,1.054316171
5112.00112,1.054317478
5112.251123,1.054318784
5112.501125,1.054320089
5112.751128,1.054321394
5113.00113,1.054322697
5113.251133,1.054324
5113.501135,1.054325302
5113.751138,1.054326603
5114.00114,1.054327904
5114.251143,1.054329203
5114.501145,1.054330502
5114.751148,1.0543318
5115.00115,1.054333097
5115.251153,1.054334393
5115.501155,1.054335689
5115.751158,1.054336984
5116.00116,1.054338278
5116.251163,1.054339571
5116.501165,1.054340863
5116.751168,1.054342155
5117.00117,1.054343445
5117.251173,1.054344735
5117.501175,1.054346024
5117.751178,1.054347313
5118.00118,1.0543486
5118.251183,1.054349887
5118.501185,1.054351173
5118.751188,1.054352458
5119.00119,1.054353742
5119.251193,1.054355026
5119.501195,1.054356309
5119.751198,1.05435759
5120.0012,1.054358871
5120.251203,1.054360152
5120.501205,1.054361431
5120.751208,1.05436271
5121.00121,1.054363988
5121.251213,1.054365265
5121.501215,1.054366541
5121.751218,1.054367816
5122.00122,1.054369091
5122.251223,1.054370365
5122.501225,1.054371638
5122.751228,1.05437291
5123.00123,1.054374182
5123.251233,1.054375452
5123.501235,1.054376722
5123.751238,1.054377991
5124.00124,1.054379259
5124.251243,1.054380526
5124.501245,1.054381793
5124.751248,1.054383059
5125.00125,1.054384324
5125.251253,1.054385588
5125.501255,1.054386851
5125.751258,1.054388114
5126.00126,1.054389375
5126.251263,1.054390636
5126.501265,1.054391896
5126.751268,1.054393156
5127.00127,1.054394414
5127.251273,1.054395672
5127.501275,1.054396929
5127.751278,1.054398185
5128.00128,1.05439944
5128.251283,1.054400694
5128.501285,1.054401948
5128.751288,1.054403201
5129.00129,1.054404453
5129.251293,1.054405704
5129.501295,1.054406954
5129.751298,1.054408204
5130.0013,1.054409453
5130.251303,1.0544107
5130.501305,1.054411948
5130.751308,1.054413194
5131.00131,1.054414439
5131.251313,1.054415684
5131.501315,1.054416928
5131.751318,1.054418171
5132.00132,1.054419413
5132.251323,1.054420655
5132.501325,1.054421895
5132.751328,1.054423135
5133.00133,1.054424374
5133.251333,1.054425612
5133.501335,1.05442685
5133.751338,1.054428086
5134.00134,1.054429322
5134.251343,1.054430557
5134.501345,1.054431791
5134.751348,1.054433025
5135.00135,1.054434257
5135.251353,1.054435489
5135.501355,1.05443672
5135.751358,1.05443795
5136.00136,1.054439179
5136.251363,1.054440407
5136.501365,1.054441635
5136.751368,1.054442862
5137.00137,1.054444088
5137.251373,1.054445313
5137.501375,1.054446537
5137.751378,1.054447761
5138.00138,1.054448984
5138.251383,1.054450205
5138.501385,1.054451427
5138.751388,1.054452647
5139.00139,1.054453866
5139.251393,1.054455085
5139.501395,1.054456303
5139.751398,1.05445752
5140.0014,1.054458736
5140.251403,1.054459951
5140.501405,1.054461166
5140.751408,1.05446238
5141.00141,1.054463593
5141.251413,1.054464805
5141.501415,1.054466016
5141.751418,1.054467226
5142.00142,1.054468436
5142.251423,1.054469645
5142.501425,1.054470853
5142.751428,1.05447206
5143.00143,1.054473267
5143.251433,1.054474472
5143.501435,1.054475677
5143.751438,1.054476881
5144.00144,1.054478084
5144.251443,1.054479286
5144.501445,1.054480488
5144.751448,1.054481688
5145.00145,1.054482888
5145.251453,1.054484087
5145.501455,1.054485286
5145.751458,1.054486483
5146.00146,1.054487679
5146.251463,1.054488875
5146.501465,1.05449007
5146.751468,1.054491264
5147.00147,1.054492458
5147.251473,1.05449365
5147.501475,1.054494842
5147.751478,1.054496032
5148.00148,1.054497222
5148.251483,1.054498412
5148.501485,1.0544996
5148.751488,1.054500788
5149.00149,1.054501974
5149.251493,1.05450316
5149.501495,1.054504345
5149.751498,1.054505529
5150.0015,1.054506713
5150.251503,1.054507896
5150.501505,1.054509077
5150.751508,1.054510258
5151.00151,1.054511438
5151.251513,1.054512618
5151.501515,1.054513796
5151.751518,1.054514974
5152.00152,1.054516151
5152.251523,1.054517327
5152.501525,1.054518502
5152.751528,1.054519676
5153.00153,1.05452085
5153.251533,1.054522023
5153.501535,1.054523195
5153.751538,1.054524366
5154.00154,1.054525536
5154.251543,1.054526705
5154.501545,1.054527874
5154.751548,1.054529042
5155.00155,1.054530209
5155.251553,1.054531375
5155.501555,1.05453254
5155.751558,1.054533705
5156.00156,1.054534868
5156.251563,1.054536031
5156.501565,1.054537193
5156.751568,1.054538354
5157.00157,1.054539515
5157.251573,1.054540674
5157.501575,1.054541833
5157.751578,1.054542991
5158.00158,1.054544148
5158.251583,1.054545304
5158.501585,1.05454646
5158.751588,1.054547614
5159.00159,1.054548768
5159.251593,1.054549921
5159.501595,1.054551073
5159.751598,1.054552224
5160.0016,1.054553375
5160.251603,1.054554524
5160.501605,1.054555673
5160.751608,1.054556821
5161.00161,1.054557968
5161.251613,1.054559115
5161.501615,1.05456026
5161.751618,1.054561405
5162.00162,1.054562548
5162.251623,1.054563691
5162.501625,1.054564834
5162.751628,1.054565975
5163.00163,1.054567115
5163.251633,1.054568255
5163.501635,1.054569394
5163.751638,1.054570532
5164.00164,1.054571669
5164.251643,1.054572806
5164.501645,1.054573941
5164.751648,1.054575076
5165.00165,1.05457621
5165.251653,1.054577343
5165.501655,1.054578475
5165.751658,1.054579606
5166.00166,1.054580737
5166.251663,1.054581867
5166.501665,1.054582995
5166.751668,1.054584123
5167.00167,1.054585251
5167.251673,1.054586377
5167.501675,1.054587503
5167.751678,1.054588627
5168.00168,1.054589751
5168.251683,1.054590874
5168.501685,1.054591997
5168.751688,1.054593118
5169.00169,1.054594239
5169.251693,1.054595358
5169.501695,1.054596477
5169.751698,1.054597595
5170.0017,1.054598713
5170.251703,1.054599829
5170.501705,1.054600945
5170.751708,1.054602059
5171.00171,1.054603173
5171.251713,1.054604286
5171.501715,1.054605398
5171.751718,1.05460651
5172.00172,1.05460762
5172.251723,1.05460873
5172.501725,1.054609839
5172.751728,1.054610947
5173.00173,1.054612054
5173.251733,1.054613161
5173.501735,1.054614266
5173.751738,1.054615371
5174.00174,1.054616475
5174.251743,1.054617578
5174.501745,1.05461868
5174.751748,1.054619782
5175.00175,1.054620882
5175.251753,1.054621982
5175.501755,1.054623081
5175.751758,1.054624179
5176.00176,1.054625276
5176.251763,1.054626372
5176.501765,1.054627468
5176.751768,1.054628563
5177.00177,1.054629657
5177.251773,1.05463075
5177.501775,1.054631842
5177.751778,1.054632933
5178.00178,1.054634024
5178.251783,1.054635113
5178.501785,1.054636202
5178.751788,1.05463729
5179.00179,1.054638377
5179.251793,1.054639464
5179.501795,1.054640549
5179.751798,1.054641634
5180.0018,1.054642718
5180.251803,1.054643801
5180.501805,1.054644883
5180.751808,1.054645964
5181.00181,1.054647044
5181.251813,1.054648124
5181.501815,1.054649203
5181.751818,1.054650281
5182.00182,1.054651358
5182.251823,1.054652434
5182.501825,1.05465351
5182.751828,1.054654584
5183.00183,1.054655658
5183.251833,1.054656731
5183.501835,1.054657803
5183.751838,1.054658874
5184.00184,1.054659945
5184.251843,1.054661014
5184.501845,1.054662083
5184.751848,1.054663151
5185.00185,1.054664218
5185.251853,1.054665284
5185.501855,1.054666349
5185.751858,1.054667414
5186.00186,1.054668477
5186.251863,1.05466954
5186.501865,1.054670602
5186.751868,1.054671663
5187.00187,1.054672724
5187.251873,1.054673783
5187.501875,1.054674842
5187.751878,1.054675899
5188.00188,1.054676956
5188.251883,1.054678012
5188.501885,1.054679068
5188.751888,1.054680122
5189.00189,1.054681175
5189.251893,1.054682228
5189.501895,1.05468328
5189.751898,1.054684331
5190.0019,1.054685381
5190.251903,1.054686431
5190.501905,1.054687479
5190.751908,1.054688527
5191.00191,1.054689573
5191.251913,1.054690619
5191.501915,1.054691665
5191.751918,1.054692709
5192.00192,1.054693752
5192.251923,1.054694795
5192.501925,1.054695836
5192.751928,1.054696877
5193.00193,1.054697917
5193.251933,1.054698957
5193.501935,1.054699995
5193.751938,1.054701032
5194.00194,1.054702069
5194.251943,1.054703105
5194.501945,1.05470414
5194.751948,1.054705174
5195.00195,1.054706207
5195.251953,1.05470724
5195.501955,1.054708271
5195.751958,1.054709302
5196.00196,1.054710332
5196.251963,1.054711361
5196.501965,1.054712389
5196.751968,1.054713416
5197.00197,1.054714443
5197.251973,1.054715468
5197.501975,1.054716493
5197.751978,1.054717517
5198.00198,1.05471854
5198.251983,1.054719563
5198.501985,1.054720584
5198.751988,1.054721604
5199.00199,1.054722624
5199.251993,1.054723643
5199.501995,1.054724661
5199.751998,1.054725678
5200.002,1.054726695
5200.252003,1.05472771
5200.502005,1.054728725
5200.752008,1.054729738
5201.00201,1.054730751
5201.252013,1.054731763
5201.502015,1.054732774
5201.752018,1.054733785
5202.00202,1.054734794
5202.252023,1.054735803
5202.502025,1.054736811
5202.752028,1.054737818
5203.00203,1.054738824
5203.252033,1.054739829
5203.502035,1.054740834
5203.752038,1.054741837
5204.00204,1.05474284
5204.252043,1.054743842
5204.502045,1.054744843
5204.752048,1.054745843
5205.00205,1.054746842
5205.252053,1.05474784
5205.502055,1.054748838
5205.752058,1.054749835
5206.00206,1.054750831
5206.252063,1.054751826
5206.502065,1.05475282
5206.752068,1.054753813
5207.00207,1.054754806
5207.252073,1.054755797
5207.502075,1.054756788
5207.752078,1.054757778
5208.00208,1.054758767
5208.252083,1.054759755
5208.502085,1.054760743
5208.752088,1.054761729
5209.00209,1.054762715
5209.252093,1.054763699
5209.502095,1.054764683
5209.752098,1.054765666
5210.0021,1.054766649
5210.252103,1.05476763
5210.502105,1.054768611
5210.752108,1.05476959
5211.00211,1.054770569
5211.252113,1.054771547
5211.502115,1.054772524
5211.752118,1.0547735
5212.00212,1.054774476
5212.252123,1.05477545
5212.502125,1.054776424
5212.752128,1.054777397
5213.00213,1.054778369
5213.252133,1.05477934
5213.502135,1.05478031
5213.752138,1.054781279
5214.00214,1.054782248
5214.252143,1.054783216
5214.502145,1.054784182
5214.752148,1.054785148
5215.00215,1.054786113
5215.252153,1.054787078
5215.502155,1.054788041
5215.752158,1.054789004
5216.00216,1.054789965
5216.252163,1.054790926
5216.502165,1.054791886
5216.752168,1.054792845
5217.00217,1.054793803
5217.252173,1.054794761
5217.502175,1.054795717
5217.752178,1.054796673
5218.00218,1.054797628
5218.252183,1.054798582
5218.502185,1.054799535
5218.752188,1.054800487
5219.00219,1.054801438
5219.252193,1.054802389
5219.502195,1.054803338
5219.752198,1.054804287
5220.0022,1.054805235
5220.252203,1.054806182
5220.502205,1.054807128
5220.752208,1.054808074
5221.00221,1.054809018
5221.252213,1.054809962
5221.502215,1.054810904
5221.752218,1.054811846
5222.00222,1.054812787
5222.252223,1.054813728
5222.502225,1.054814667
5222.752228,1.054815605
5223.00223,1.054816543
5223.252233,1.05481748
5223.502235,1.054818415
5223.752238,1.05481935
5224.00224,1.054820285
5224.252243,1.054821218
5224.502245,1.05482215
5224.752248,1.054823082
5225.00225,1.054824013
5225.252253,1.054824942
5225.502255,1.054825871
5225.752258,1.054826799
5226.00226,1.054827727
5226.252263,1.054828653
5226.502265,1.054829578
5226.752268,1.054830503
5227.00227,1.054831427
5227.252273,1.05483235
5227.502275,1.054833272
5227.752278,1.054834193
5228.00228,1.054835113
5228.252283,1.054836033
5228.502285,1.054836951
5228.752288,1.054837869
5229.00229,1.054838786
5229.252293,1.054839702
5229.502295,1.054840617
5229.752298,1.054841531
5230.0023,1.054842445
5230.252303,1.054843357
5230.502305,1.054844269
5230.752308,1.05484518
5231.00231,1.05484609
5231.252313,1.054846999
5231.502315,1.054847907
5231.752318,1.054848814
5232.00232,1.054849721
5232.252323,1.054850626
5232.502325,1.054851531
5232.752328,1.054852435
5233.00233,1.054853338
5233.252333,1.05485424
5233.502335,1.054855141
5233.752338,1.054856042
5234.00234,1.054856941
5234.252343,1.05485784
5234.502345,1.054858738
5234.752348,1.054859634
5235.00235,1.054860531
5235.252353,1.054861426
5235.502355,1.05486232
5235.752358,1.054863213
5236.00236,1.054864106
5236.252363,1.054864998
5236.502365,1.054865889
5236.752368,1.054866779
5237.00237,1.054867668
5237.252373,1.054868556
5237.502375,1.054869443
5237.752378,1.05487033
5238.00238,1.054871215
5238.252383,1.0548721
5238.502385,1.054872984
5238.752388,1.054873867
5239.00239,1.054874749
5239.252393,1.05487563
5239.502395,1.054876511
5239.752398,1.05487739
5240.0024,1.054878269
5240.252403,1.054879147
5240.502405,1.054880024
5240.752408,1.0548809
5241.00241,1.054881775
5241.252413,1.054882649
5241.502415,1.054883522
5241.752418,1.054884395
5242.00242,1.054885267
5242.252423,1.054886138
5242.502425,1.054887007
5242.752428,1.054887876
5243.00243,1.054888745
5243.252433,1.054889612
5243.502435,1.054890478
5243.752438,1.054891344
5244.00244,1.054892209
5244.252443,1.054893072
5244.502445,1.054893935
5244.752448,1.054894797
5245.00245,1.054895659
5245.252453,1.054896519
5245.502455,1.054897378
5245.752458,1.054898237
5246.00246,1.054899095
5246.252463,1.054899952
5246.502465,1.054900807
5246.752468,1.054901663
5247.00247,1.054902517
5247.252473,1.05490337
5247.502475,1.054904223
5247.752478,1.054905074
5248.00248,1.054905925
5248.252483,1.054906775
5248.502485,1.054907624
5248.752488,1.054908472
5249.00249,1.054909319
5249.252493,1.054910165
5249.502495,1.054911011
5249.752498,1.054911855
5250.0025,1.054912699
5250.252503,1.054913542
5250.502505,1.054914384
5250.752508,1.054915225
5251.00251,1.054916065
5251.252513,1.054916904
5251.502515,1.054917742
5251.752518,1.05491858
5252.00252,1.054919417
5252.252523,1.054920252
5252.502525,1.054921087
5252.752528,1.054921921
5253.00253,1.054922755
5253.252533,1.054923587
5253.502535,1.054924418
5253.752538,1.054925249
5254.00254,1.054926078
5254.252543,1.054926907
5254.502545,1.054927735
5254.752548,1.054928562
5255.00255,1.054929388
5255.252553,1.054930213
5255.502555,1.054931038
5255.752558,1.054931861
5256.00256,1.054932684
5256.252563,1.054933506
5256.502565,1.054934326
5256.752568,1.054935146
5257.00257,1.054935965
5257.252573,1.054936784
5257.502575,1.054937601
5257.752578,1.054938417
5258.00258,1.054939233
5258.252583,1.054940048
5258.502585,1.054940861
5258.752588,1.054941674
5259.00259,1.054942486
5259.252593,1.054943297
5259.502595,1.054944108
5259.752598,1.054944917
5260.0026,1.054945726
5260.252603,1.054946533
5260.502605,1.05494734
5260.752608,1.054948146
5261.00261,1.054948951
5261.252613,1.054949755
5261.502615,1.054950558
5261.752618,1.05495136
5262.00262,1.054952162
5262.252623,1.054952962
5262.502625,1.054953762
5262.752628,1.054954561
5263.00263,1.054955359
5263.252633,1.054956156
5263.502635,1.054956952
5263.752638,1.054957747
5264.00264,1.054958542
5264.252643,1.054959335
5264.502645,1.054960128
5264.752648,1.054960919
5265.00265,1.05496171
5265.252653,1.0549625
5265.502655,1.054963289
5265.752658,1.054964077
5266.00266,1.054964865
5266.252663,1.054965651
5266.502665,1.054966437
5266.752668,1.054967221
5267.00267,1.054968005
5267.252673,1.054968788
5267.502675,1.05496957
5267.752678,1.054970351
5268.00268,1.054971131
5268.252683,1.05497191
5268.502685,1.054972689
5268.752688,1.054973466
5269.00269,1.054974243
5269.252693,1.054975019
5269.502695,1.054975794
5269.752698,1.054976567
5270.0027,1.054977341
5270.252703,1.054978113
5270.502705,1.054978884
5270.752708,1.054979655
5271.00271,1.054980424
5271.252713,1.054981193
5271.502715,1.054981961
5271.752718,1.054982727
5272.00272,1.054983493
5272.252723,1.054984258
5272.502725,1.054985023
5272.752728,1.054985786
5273.00273,1.054986548
5273.252733,1.05498731
5273.502735,1.054988071
5273.752738,1.05498883
5274.00274,1.054989589
5274.252743,1.054990347
5274.502745,1.054991104
5274.752748,1.054991861
5275.00275,1.054992616
5275.252753,1.05499337
5275.502755,1.054994124
5275.752758,1.054994876
5276.00276,1.054995628
5276.252763,1.054996379
5276.502765,1.054997129
5276.752768,1.054997878
5277.00277,1.054998626
5277.252773,1.054999374
5277.502775,1.05500012
5277.752778,1.055000865
5278.00278,1.05500161
5278.252783,1.055002354
5278.502785,1.055003097
5278.752788,1.055003839
5279.00279,1.05500458
5279.252793,1.05500532
5279.502795,1.055006059
5279.752798,1.055006797
5280.0028,1.055007535
5280.252803,1.055008271
5280.502805,1.055009007
5280.752808,1.055009742
5281.00281,1.055010476
5281.252813,1.055011209
5281.502815,1.055011941
5281.752818,1.055012672
5282.00282,1.055013402
5282.252823,1.055014132
5282.502825,1.05501486
5282.752828,1.055015588
5283.00283,1.055016315
5283.252833,1.055017041
5283.502835,1.055017766
5283.752838,1.05501849
5284.00284,1.055019213
5284.252843,1.055019935
5284.502845,1.055020656
5284.752848,1.055021377
5285.00285,1.055022096
5285.252853,1.055022815
5285.502855,1.055023533
5285.752858,1.05502425
5286.00286,1.055024966
5286.252863,1.055025681
5286.502865,1.055026395
5286.752868,1.055027108
5287.00287,1.055027821
5287.252873,1.055028532
5287.502875,1.055029243
5287.752878,1.055029953
5288.00288,1.055030661
5288.252883,1.055031369
5288.502885,1.055032076
5288.752888,1.055032782
5289.00289,1.055033488
5289.252893,1.055034192
5289.502895,1.055034895
5289.752898,1.055035598
5290.0029,1.0550363
5290.252903,1.055037
5290.502905,1.0550377
5290.752908,1.055038399
